series;name;freq;block_g;block_s;block_r;block_f;block_pe;months_lag
rvi;Индекс волатильности РТС;m;1;0;0;1;0;1
m0;Денежная масса: агрегат M0, млрд руб ;m;1;0;0;1;0;1
m2x;Денежная масса: агрегат M2Х, млрд руб ;m;1;0;0;1;0;1
ofz1;Индекс ОФЗ до 1 года;m;1;0;0;1;0;1
ofz3;Индекс ОФЗ от 1 до 3 лет ;m;1;0;0;1;0;1
ofz5;Индекс ОФЗ от 3 до 5 лет ;m;1;0;0;1;0;1
ofz10;Индекс ОФЗ от 5 до 10 лет ;m;1;0;0;1;0;1
dep_hh_rate;Ставка по депозитам физических лиц в рублях: На срок до 1 года, включая «до востребования»;m;1;0;0;1;0;2
dep_nfo_rate;Ставка по депозитам нефинансовых организаций в рублях: На срок до 1 года, включая «до востребования»;m;1;0;0;1;0;2
cred_hh_rate;Ставка по кредитам физическим лицам в рублях: На срок до 1 года, включая «до востребования»;m;1;0;0;1;0;2
cred_nfo_rate;Ставка по кредитам нефинансовым организациям в рублях: На срок до 1 года, включая «до востребования»;m;1;0;0;1;0;2
t2;UST доходность, 2 года;m;1;0;0;1;0;1
t10;UST доходность, 10 лет;m;1;0;0;1;0;1
ism_man;ISM PMI Manufacturing;m;1;0;0;0;1;1
ism_serv;ISM PMI Non-Manufacturing;m;1;0;0;0;1;1
us_cpi;Инфляция в США SA;m;1;0;0;0;1;1
eu_cpi;Инфляция в Еврозоне (HICP);m;1;0;0;0;1;1
cpi;Инфляция: все товары и услуги: В % к предыдущему месяцу;m;1;0;0;0;1;1
cpi_prod;Продовольственная инфляция: В % к предыдущему месяцу;m;1;0;0;0;1;1
cpi_neprod;Непродоволсьвенная инфляция: В % к предыдущему месяцу;m;1;0;0;0;1;1
cpi_serv;Инфляция: услуги: В % к предыдущему месяцу;m;1;0;0;0;1;1
ppi;Индекс цен производителей: В % к предыдущему месяцу;m;1;0;0;0;1;1
brent;Цены на нефть Brent, USD;m;1;0;0;0;1;1
urals;Цены на нефть Urals, USD;m;1;0;0;0;1;1
aluminium;Цены на алюминий, USD;m;1;0;0;0;1;1
gold;Цены на золото, USD;m;1;0;0;0;1;1
gas;Цены на газ, USD;m;1;0;0;0;1;1
FAOFOODI;Сводный индекс цен на продовольствие ;m;1;0;0;0;1;1
FAOFCER;Индекс цен на зерновые ;m;1;0;0;0;1;1
FAOFMEAT;Индекс цен на мясо ;m;1;0;0;0;1;1
FAOFDARY;Индекс цен на молочные продукты ;m;1;0;0;0;1;1
FAOFSUGR;Индекс цен на сахар ;m;1;0;0;0;1;1
FAOFOILS;Индекс цен на растительные масла ;m;1;0;0;0;1;1
